Scientific Name,#Occurrences
hydrochoerus hydrochaeris,118
molossops temminckii,118
sturnira tildae,118
homogalax sp,117
petromyscus collinus,117
pteronotus gymnonotus,117
raphicerus campestris,117
sciurus aureogaster,117
scotophilus kuhli,117
alphadon halleyi,116
dipodomys compactus,116
microtus cumberlandensis,116
purgatorius janisae,116
tamias speciosus,116
cylindrodon fontis,115
dicrostonyx hudsonius,115
rattus tiomanicus,115
eonycteris spelaea,114
geomys knoxjonesi,114
myodes sp.,114
platyrrhinus infuscus,114
thryptacodon sp,114
calomyscus bailwardi,113
catopsalis joyneri,113
oryzomys yunganus,113
tatera brantsii,113
megalagus brachyodon,112
mustela nigripes,112
plesiadapis fodinatus,112
reithrodon auritus,112
ruscinomys sp,112
saccopteryx leptura,112
viverravus sp,112
eptesicus gobiensis,111
ictidomys parvidens,111
marmota broweri,111
pediomys krejcii,111
sciurus deppei,111
solenodon paradoxus,111
sorex arcticus,111
sorex isodon,111
spermophilus mohavensis,111
lambdotherium popoagicum,110
lepus washingtoni,110
lestoros inca,110
papio hamadryas,110
rattus baluensis,110
crocidura beatus,109
pseudocylindrodon tobeyi,109
tamias palmeri,109
connochaetes taurinus,108
liodontia alexandrae,108
peratherium fugax,108
plaisiodon centralis,108
saccostomus campestris,108
alphadon marshi,107
didymictis sp,107
myodes centralis,107
oryx gazella,107
peropteryx macrotis,107
sespedectes stocki,107
elephantulus rufescens,106
geomys tuza,106
myotis muricola,106
sciurus granatensis,106
artibeus aequatorialis,105
ellobius tancrei,105
esthonyx sp,105
ogmodontomys sawrockensis,105
psammomys obesus,105
mesocricetus auratus,104
microtus gregalis,104
mus spicilegus,104
rousettus aegyptiacus,104
sigmodon planifrons,104
akodon longipilis,103
allactaga sibirica,103
cimexomys hausoi,103
eligmodontia morgani,103
grampus griseus,103
rhogeessa parvula,103
taphozous melanopogon,103
glasbius twitchelli,102
nanodelphys californicus,102
peridiomys halis,102
thylogale billardierii,102
capromys pilorides,101
dobsonia praedatrix,101
hesperolagomys galbreathi,101
microtus paroperarius,101
moropus sp,101
mus sp,101
nephelomys keaysi,101
nyctinomops aurispinosus,101
pongo pygmaeus,101
scotophilus temminckii,101
enchisthenes hartii,100
felis concolor,100
mesodma garfieldensis,100
paranyctimene raptor,100
thomasomys aureus,100
antidorcas marsupialis,99
chlorocebus aethiops,99
clethrionomys jochelsoni,99
lama glama,99
saimiri sciureus,99
sorex dispar,99
diacodexis secans-kelleyi,98
eptesicus capensis,98
herpestes javanicus,98
meriones persicus,98
micoureus regina,98
reithrodontomys mexicanus,98
spermophilus washingtoni,98
tragelaphus strepsiceros,98
artiodactyl sp,97
euryoryzomys russatus,97
habromys lepturus,97
microgale drouhardi,97
palaeictops sp,97
camelus dromedarius,96
dipodomys gravipes,96
geomys tropicalis,96
lemniscomys striatus,96
natalus micropus,96
notharctus venticolus,96
akodon orophilus,95
